,datahora,t_1,t_10,t_100,t_120,t_13,t_140,t_180,t_20,t_300,t_40,t_5,t_500,t_60,t_80
0,2005-08-24 12:00:00+00:00,25.19,-99999.0,25.2,24.89,-99999.0,23.79,20.6,25.17,12.46,25.17,-99999.0,6.82,25.19,25.19
1,2005-08-25 12:00:00+00:00,25.19,-99999.0,25.17,24.72,-99999.0,23.61,20.31,25.18,12.27,25.18,-99999.0,6.85,25.21,25.18
2,2005-08-26 12:00:00+00:00,25.26,-99999.0,25.13,24.74,-99999.0,23.63,20.43,25.24,12.36,25.22,-99999.0,6.87,25.2,25.16
3,2005-08-27 12:00:00+00:00,25.23,-99999.0,25.04,24.77,-99999.0,23.74,20.1,25.19,12.23,25.19,-99999.0,6.86,25.14,25.08
4,2005-08-28 12:00:00+00:00,25.25,-99999.0,24.9,24.78,-99999.0,23.81,20.21,25.21,12.48,25.11,-99999.0,6.79,25.04,24.99
5,2005-08-29 12:00:00+00:00,25.33,-99999.0,24.89,24.43,-99999.0,23.51,19.93,25.27,12.29,25.12,-99999.0,6.87,25.03,24.94
6,2005-08-30 12:00:00+00:00,25.49,-99999.0,24.84,23.88,-99999.0,23.15,19.93,25.39,12.42,25.33,-99999.0,6.79,25.3,25.03
7,2005-08-31 12:00:00+00:00,25.47,-99999.0,24.91,23.92,-99999.0,23.22,20.01,25.43,12.47,25.44,-99999.0,6.88,25.39,25.16
8,2005-09-01 12:00:00+00:00,25.47,-99999.0,24.95,24.6,-99999.0,23.71,20.26,25.44,12.38,25.44,-99999.0,6.89,25.46,25.16
9,2005-09-02 12:00:00+00:00,25.47,-99999.0,24.99,24.91,-99999.0,24.58,20.86,25.43,12.32,25.43,-99999.0,6.76,25.4,25.07
10,2005-09-03 12:00:00+00:00,25.46,-99999.0,25.05,24.96,-99999.0,24.5,20.81,25.41,12.43,25.41,-99999.0,6.86,25.38,25.13
11,2005-09-04 12:00:00+00:00,25.45,-99999.0,25.02,24.91,-99999.0,24.47,21.12,25.42,12.35,25.42,-99999.0,6.85,25.3,25.05
12,2005-09-05 12:00:00+00:00,25.42,-99999.0,25.02,24.91,-99999.0,24.5,20.98,25.38,12.41,25.38,-99999.0,6.81,25.24,25.03
13,2005-09-06 12:00:00+00:00,25.34,-99999.0,24.96,24.89,-99999.0,24.67,21.36,25.31,12.44,25.28,-99999.0,6.8,25.14,25.03
14,2005-09-07 12:00:00+00:00,25.3,-99999.0,24.93,24.86,-99999.0,24.74,21.05,25.26,12.46,25.17,-99999.0,6.86,25.07,24.97
15,2005-09-08 12:00:00+00:00,25.31,-99999.0,24.92,24.87,-99999.0,24.79,21.79,25.18,12.55,25.07,-99999.0,6.87,25.0,24.93
16,2005-09-09 12:00:00+00:00,25.42,-99999.0,25.01,24.91,-99999.0,24.8,21.2,25.28,12.43,25.17,-99999.0,6.86,25.11,25.05
17,2005-09-10 12:00:00+00:00,25.44,-99999.0,25.09,24.98,-99999.0,24.49,21.58,25.38,12.49,25.23,-99999.0,6.86,25.16,25.1
18,2005-09-11 12:00:00+00:00,25.54,-99999.0,25.09,24.99,-99999.0,24.41,21.32,25.53,12.54,25.24,-99999.0,6.8,25.19,25.12
19,2005-09-12 12:00:00+00:00,25.52,-99999.0,25.08,24.91,-99999.0,24.38,21.49,25.52,12.53,25.25,-99999.0,6.79,25.19,25.11
20,2005-09-13 12:00:00+00:00,25.54,-99999.0,25.01,24.91,-99999.0,24.44,21.78,25.52,12.5,25.39,-99999.0,6.82,25.21,25.13
